user_id,product_id,review_packaging,review_rebuy,review_valueformoney
5503,4055,3.5,maybe,cheap
5574,2475,4.0,no,cheap
5574,1130,3.0,maybe,cheap
5574,925,4.0,yes,cheap
5574,3426,4.0,maybe,cheap
5574,544,3.0,yes,cheap
5574,521,3.0,maybe,cheap
5574,158,3.0,maybe,cheap
5574,260,3.0,yes,cheap
5574,2346,2.0,no,cheap
5574,2258,3.5,no,cheap
5574,3369,4.0,maybe,cheap
5601,10729,5.0,yes,expensive
5601,260,5.0,yes,just right
5601,249,5.0,yes,expensive
5601,224,5.0,yes,just right
5601,1310,9.9,yes,just right
5601,228,5.0,yes,just right
5601,3865,5.0,yes,cheap
5601,1018,5.0,yes,expensive
5601,220,5.0,maybe,expensive
5601,294,5.0,yes,just right
5601,227,5.0,yes,just right
5601,1020,5.0,yes,just right
5601,435,5.0,yes,just right
5601,288,5.0,yes,expensive
5601,289,5.0,yes,expensive
5601,465,5.0,no,just right
5601,7108,5.0,yes,cheap
5878,3821,5.0,yes,cheap
5878,4028,3.0,no,just right
5878,5176,2.5,no,cheap
5878,5460,3.0,maybe,just right
5878,4688,2.0,no,cheap
5878,3766,5.0,yes,just right
5878,5408,4.0,yes,just right
5878,965,3.0,no,expensive
5878,3028,5.0,yes,cheap
5878,7108,3.5,no,just right
5878,5383,2.5,no,just right
5878,3668,5.0,yes,just right
5878,2557,4.5,maybe,just right
5878,4410,4.0,maybe,just right
5878,3491,3.5,maybe,just right
5878,863,4.0,no,cheap
5878,5804,3.0,no,just right
5878,2475,3.0,no,just right
5878,610,3.0,no,just right
5878,4571,5.0,yes,just right
5878,576,3.0,no,cheap
5878,611,2.5,no,just right
5878,2028,4.0,yes,cheap
5878,5990,4.0,maybe,cheap
5878,3426,2.5,no,just right
5878,3290,4.5,yes,cheap
5878,6361,5.0,yes,cheap
5878,5062,2.0,no,just right
5878,7093,3.5,no,cheap
5878,404,3.5,maybe,just right
5878,6627,3.5,maybe,just right
5878,864,4.0,no,just right
5878,617,3.0,no,just right
5878,4057,5.0,yes,cheap
5878,370,3.5,maybe,just right
5878,886,3.0,no,cheap
5878,695,3.0,no,just right
5878,7967,5.0,yes,just right
5878,2347,4.0,no,cheap
5878,1418,5.0,yes,cheap
5878,299,5.0,yes,cheap
5878,5522,5.0,yes,just right
5878,18279,2.5,yes,just right
5878,294,3.5,yes,just right
5878,3956,1.5,no,just right
5878,2209,4.0,maybe,just right
5878,6724,5.0,yes,cheap
5878,3980,2.0,no,just right
5878,2631,3.0,maybe,just right
5878,3709,4.0,yes,cheap
6126,2938,3.5,no,cheap
6126,610,3.0,maybe,just right
6126,1657,3.5,no,cheap
6255,1289,3.0,no,just right
6255,934,5.0,yes,just right
6255,833,4.0,maybe,just right
6255,611,4.0,yes,just right
6255,370,2.0,maybe,expensive
6255,808,5.0,yes,expensive
6270,869,5.0,yes,cheap
6270,531,5.0,yes,expensive
6270,299,5.0,maybe,cheap
6270,8740,3.0,no,expensive
6270,4953,4.0,yes,just right
6270,798,5.0,no,expensive
6270,298,5.0,yes,expensive
6270,2033,5.0,yes,cheap
6270,4861,4.0,yes,just right
6270,2623,5.0,yes,expensive
6270,9213,5.0,yes,cheap
6311,600,5.0,yes,just right
6311,449,4.0,maybe,just right
6311,597,5.0,maybe,just right
6311,448,5.0,yes,just right
6311,370,5.0,yes,cheap
6311,593,4.0,no,just right
6311,7668,4.0,no,just right
6311,447,4.0,maybe,just right
6593,777,3.0,maybe,cheap
6593,2501,1.5,no,expensive
6593,1643,5.0,no,expensive
6593,4333,5.0,yes,cheap
6593,89,4.5,yes,cheap
6593,3656,4.0,maybe,expensive
6593,5014,5.0,yes,just right
6629,3479,3.0,maybe,expensive
6629,822,3.0,maybe,expensive
6629,1417,3.0,no,cheap
6629,1317,3.0,maybe,cheap
6652,298,4.0,yes,expensive
6652,260,4.0,yes,expensive
6652,128,1.5,no,just right
6652,1346,4.0,maybe,cheap
6687,757,5.0,yes,just right
6687,826,4.0,yes,just right
6687,769,4.0,maybe,expensive
6687,758,4.0,yes,just right
6687,449,4.0,maybe,just right
6687,711,4.0,yes,just right
6687,825,4.0,yes,just right
6687,759,5.0,yes,just right
6687,756,4.0,yes,just right
6687,743,4.0,yes,just right
6687,768,4.0,yes,just right
6746,864,5.0,maybe,cheap
6746,866,3.0,no,cheap
6746,158,3.0,no,just right
6746,859,5.0,yes,just right
6746,370,3.0,no,expensive
6746,777,3.0,no,cheap
6746,2354,3.0,maybe,cheap
6746,600,3.0,no,cheap
6746,369,3.0,no,cheap
6746,534,4.5,yes,just right
6746,826,3.0,no,cheap
6746,7668,4.0,yes,just right
6746,618,4.0,yes,cheap
6746,610,4.0,maybe,just right
6746,869,5.0,yes,cheap
6746,1418,4.5,maybe,cheap
6746,2330,3.5,no,cheap
6746,318,4.0,no,cheap
6746,2258,4.0,yes,just right
6746,2332,3.0,maybe,expensive
6746,2126,5.0,maybe,cheap
6746,2413,3.0,no,expensive
6746,808,5.0,no,cheap
6746,2132,3.0,maybe,just right
6746,736,5.0,yes,just right
6746,2768,5.0,maybe,expensive
6746,2378,1.0,no,expensive
6746,925,3.0,maybe,cheap
6759,288,5.0,maybe,expensive
6759,9641,4.5,yes,just right
6759,668,5.0,maybe,expensive
6759,11763,4.5,yes,expensive
6759,260,3.0,no,expensive
6759,544,5.0,yes,expensive
6759,7313,4.0,no,expensive
6759,3895,4.0,yes,cheap
